name,description
Apple,"Produtos eletrônicos de alta tecnologia"
Samsung,"Líder global em tecnologia e dispositivos móveis"
Sony,"Especialista em áudio, vídeo e eletrônicos premium"
Dell,"Computadores e soluções de TI para empresas e usuários domésticos"
Logitech,"Acessórios para computador e periféricos de alta qualidade"
Baseus,"Acessórios inovadores para dispositivos móveis"
Anker,"Líder em tecnologia de carregamento e energia portátil"
HP,"Soluções de computação e impressão confiáveis"
Lenovo,"Inovação em notebooks e dispositivos inteligentes"
Asus,"Hardware de alto desempenho e notebooks premium"
