supplier,product,quantity,description
Tech Distribuidora,iPhone 15 Pro 256GB Titanium,10,Compra de reposição mensal
Info Trade,Sony WH-1000XM5 Black,25,Lote promocional de fim de ano
Logi Partner,Logitech MX Master 3S Graphic,50,Pedido especial para cliente corporativo
Alpha Systems,Lenovo ThinkPad X1 Gen 11,5,Atualização de estoque interno
Info Trade,Baseus GaN5 Pro 65W,100,Importação direta via Info Trade
Tech Distribuidora,Samsung Galaxy S24 Ultra 512GB,15,Lançamento oficial
Global Connect,Asus ROG Strix G16 2024,3,Pedido sob demanda
Power Supply Co,Baseus GaN5 Pro 65W,50,Reposição de acessórios
View Tech,Samsung Odyssey G9 49,2,Estoque para showroom
Master Eletrônicos,Anker 737 PowerCore 24K,30,Abastecimento de varejo
