product,quantity,description
iPhone 15 Pro 256GB Titanium,2,Venda balcão - Cliente final
Logitech MX Master 3S Graphic,10,Venda corporativa - Alpha Corp
Sony WH-1000XM5 Black,5,Venda online - Pedido #12345
Samsung Galaxy S24 Ultra 512GB,1,Upgrade de dispositivo - Cliente VIP
Anker 737 PowerCore 24K,4,Kit viagem - Venda promocional
Dell XPS 13 9315,1,Venda balcão - Estudante
Logitech G Pro X Superlight White,2,Venda online - Gamer Enthusiast
Baseus GaN5 Pro 65W,15,Brinde corporativo - Alpha Corp
Asus ROG Strix G16 2024,1,Venda personalizada - Setup de Edição
Samsung Odyssey G9 49,1,Venda exclusiva - Streamer profissional
