name,description
Processadores,"CPUs para computadores e servidores"
Placas de Vídeo,"GPUs para renderização gráfica e gaming"
Memória RAM,"Módulos de memória para computadores"
Armazenamento,"HDDs, SSDs e NVMe para dados"
Placas-mãe,"Componentes centrais para montagem de PCs"
Fontes de Alimentação,"PSUs com certificação de eficiência"
Gabinete,"Estruturas para proteção e ventilação de hardware"
Monitores,"Telas de alta resolução e taxa de atualização"
Teclados,"Periféricos de entrada mecânicos e de membrana"
Mouses,"Dispositivos de apontamento ergonômicos e gamers"
Acessórios,"Cabos, adaptadores e itens diversos"
