name,brand,description
iPhone 15 Pro,Apple,Smartphone premium com corpo de titânio
Samsung Galaxy S24,Samsung,Flagship com recursos avançados de IA
Sony WH-1000XM5,Sony,Headphone com cancelamento de ruído líder de mercado
Dell XPS 13,Dell,Ultrabook compacto e poderoso para produtividade
Logitech MX Master 3,Logitech,Mouse ergonômico para profissionais
Baseus GaN5 Pro,Baseus,Carregador rápido de alta potência
Anker 737 Power Bank,Anker,Bateria externa de alta capacidade e velocidade
HP LaserJet Pro,HP,Impressora a laser eficiente para escritórios
Lenovo ThinkPad X1 Carbon,Lenovo,Notebook corporativo ultraleve e resistente
Asus ROG Strix G16,Asus,Notebook gamer de alto desempenho
Dell OptiPlex Micro,Dell,Desktop ultracompacto para ambientes empresariais
Asus ProArt Display,Asus,Monitor profissional com alta precisão de cor
Logitech G Pro X Superlight,Logitech,Mouse gamer ultraleve
Samsung Odyssey G9,Samsung,Monitor curvo ultra-wide para imersão total
Sony Alpha A7 IV,Sony,Câmera mirrorless de alta performance
