title,product_model,category,description,serial_number,cost_price,sell_price,quantity
iPhone 15 Pro 256GB Titanium,iPhone 15 Pro,Acessórios,Processamento rápido e design inovador,SN-IP15P-001,5000.00,7500.00,50
Samsung Galaxy S24 Ultra 512GB,Samsung Galaxy S24,Acessórios,O melhor da Samsung com tela OLED brilhante,SN-GS24U-002,4500.00,6800.00,40
Sony WH-1000XM5 Black,Sony WH-1000XM5,Acessórios,Som cristalino e conforto excepcional,SN-SXM5-003,1500.00,2400.00,100
Dell XPS 13 9315,Dell XPS 13,Acessórios,Leveza e potência para profissionais móveis,SN-DXPS13-004,6000.00,9000.00,25
Logitech MX Master 3S Graphic,Logitech MX Master 3,Mouses,Precisão cirúrgica e ergonomia premium,SN-MXM3S-005,400.00,750.00,150
Baseus GaN5 Pro 65W,Baseus GaN5 Pro,Acessórios,Carregamento seguro e ultra-rápido,SN-BGAN5-006,120.00,280.00,300
Anker 737 PowerCore 24K,Anker 737 Power Bank,Acessórios,Energia de sobra para todos os seus dispositivos,SN-A737-007,450.00,850.00,80
HP LaserJet Pro M404dn,HP LaserJet Pro,Acessórios,Impressões nítidas e rápidas para seu negócio,SN-HPLJ-008,1200.00,1950.00,15
Lenovo ThinkPad X1 Gen 11,Lenovo ThinkPad X1 Carbon,Acessórios,O padrão ouro para notebooks corporativos,SN-TX1G11-009,7500.00,11500.00,20
Asus ROG Strix G16 2024,Asus ROG Strix G16,Acessórios,Domine qualquer jogo com performance máxima,SN-ROG-010,8500.00,13500.00,10
Asus ProArt PA278CV,Asus ProArt Display,Monitores,Cores perfeitas para criadores exigentes,SN-PA278-012,2500.00,3800.00,12
Logitech G Pro X Superlight White,Logitech G Pro X Superlight,Mouses,Mínimo peso para máxima performance no jogo,SN-GPSL-013,600.00,980.00,60
Samsung Odyssey G9 49,Samsung Odyssey G9,Monitores,A maior tela curva para produtividade e games,SN-OG9-014,5500.00,8900.00,8
Sony Alpha A7 IV Body,Sony Alpha A7 IV,Acessórios,A ferramenta definitiva para fotografia e vídeo,SN-SA74-015,12000.00,18500.00,5
Dell OptiPlex 7010 Micro,Dell OptiPlex Micro,Acessórios,Eficiência em escala reduzida para seu escritório,SN-DOPT7-011,3200.00,4800.00,35
